,celltype_1,celltype_2,sq_ne_zscore,sq_ne_count,patient_id,condition
0,B-cells,Basal keratinocytes,0.0,0,TCL_07,T-Cell Lymphoma
1,B-cells,Endothelial cells,-4.406024370661806,72,TCL_07,T-Cell Lymphoma
2,B-cells,Fibroblasts,1.0562526332941509,16,TCL_07,T-Cell Lymphoma
3,B-cells,Langerhans cells,2.4269385286429874,34,TCL_07,T-Cell Lymphoma
4,B-cells,Macrophages,0.45443659530517827,41,TCL_07,T-Cell Lymphoma
5,B-cells,Melanocytes,0.7783282702740635,32,TCL_07,T-Cell Lymphoma
6,B-cells,Smooth muscle cells,0.8630760518824322,57,TCL_07,T-Cell Lymphoma
7,B-cells,Suprabasal keratinocytes,-1.0152287162701386,19,TCL_07,T-Cell Lymphoma
8,B-cells,T-cells,-1.8014017016718553,102,TCL_07,T-Cell Lymphoma
9,B-cells,Unknown,2.7694876531367467,148,TCL_07,T-Cell Lymphoma
10,Basal keratinocytes,Endothelial cells,0.0,0,TCL_07,T-Cell Lymphoma
11,Basal keratinocytes,Fibroblasts,-2.921676446591756,29,TCL_07,T-Cell Lymphoma
12,Basal keratinocytes,Langerhans cells,-4.8634906989351725,44,TCL_07,T-Cell Lymphoma
13,Basal keratinocytes,Macrophages,-0.2619987264140879,144,TCL_07,T-Cell Lymphoma
14,Basal keratinocytes,Melanocytes,-4.833434833659797,62,TCL_07,T-Cell Lymphoma
15,Basal keratinocytes,Smooth muscle cells,-2.28573748466203,166,TCL_07,T-Cell Lymphoma
16,Basal keratinocytes,Suprabasal keratinocytes,-1.0060781788001008,83,TCL_07,T-Cell Lymphoma
17,Basal keratinocytes,T-cells,4.71277465047589,550,TCL_07,T-Cell Lymphoma
18,Basal keratinocytes,Unknown,-9.089503725527006,285,TCL_07,T-Cell Lymphoma
19,Endothelial cells,Fibroblasts,0.0,0,TCL_07,T-Cell Lymphoma
20,Endothelial cells,Langerhans cells,0.4914675260391043,11,TCL_07,T-Cell Lymphoma
21,Endothelial cells,Macrophages,-0.8209005375220577,13,TCL_07,T-Cell Lymphoma
22,Endothelial cells,Melanocytes,0.03059413153511714,12,TCL_07,T-Cell Lymphoma
23,Endothelial cells,Smooth muscle cells,0.3226988083048846,23,TCL_07,T-Cell Lymphoma
24,Endothelial cells,Suprabasal keratinocytes,0.6406229625808514,12,TCL_07,T-Cell Lymphoma
25,Endothelial cells,T-cells,-1.258497849045169,42,TCL_07,T-Cell Lymphoma
26,Endothelial cells,Unknown,2.051991322242348,62,TCL_07,T-Cell Lymphoma
27,Fibroblasts,Langerhans cells,0.0,0,TCL_07,T-Cell Lymphoma
28,Fibroblasts,Macrophages,1.5575358471130376,37,TCL_07,T-Cell Lymphoma
29,Fibroblasts,Melanocytes,2.666003368872068,33,TCL_07,T-Cell Lymphoma
30,Fibroblasts,Smooth muscle cells,0.786938101425511,43,TCL_07,T-Cell Lymphoma
31,Fibroblasts,Suprabasal keratinocytes,3.18361871096851,31,TCL_07,T-Cell Lymphoma
32,Fibroblasts,T-cells,-3.9292698482918507,57,TCL_07,T-Cell Lymphoma
33,Fibroblasts,Unknown,0.7969013081950952,96,TCL_07,T-Cell Lymphoma
34,Langerhans cells,Macrophages,0.0,0,TCL_07,T-Cell Lymphoma
35,Langerhans cells,Melanocytes,1.0187364026704315,42,TCL_07,T-Cell Lymphoma
36,Langerhans cells,Smooth muscle cells,-1.9520503906667461,50,TCL_07,T-Cell Lymphoma
37,Langerhans cells,Suprabasal keratinocytes,-0.48288294453367575,28,TCL_07,T-Cell Lymphoma
38,Langerhans cells,T-cells,-1.129746000775759,142,TCL_07,T-Cell Lymphoma
39,Langerhans cells,Unknown,1.0492332196455028,162,TCL_07,T-Cell Lymphoma
40,Macrophages,Melanocytes,0.0,0,TCL_07,T-Cell Lymphoma
41,Macrophages,Smooth muscle cells,-1.086245202267307,41,TCL_07,T-Cell Lymphoma
42,Macrophages,Suprabasal keratinocytes,0.9817922813256803,27,TCL_07,T-Cell Lymphoma
43,Macrophages,T-cells,-1.0167814411632947,103,TCL_07,T-Cell Lymphoma
44,Macrophages,Unknown,4.037448234795766,149,TCL_07,T-Cell Lymphoma
45,Melanocytes,Smooth muscle cells,0.0,0,TCL_07,T-Cell Lymphoma
46,Melanocytes,Suprabasal keratinocytes,1.125826806329477,48,TCL_07,T-Cell Lymphoma
47,Melanocytes,T-cells,-1.319597598873417,188,TCL_07,T-Cell Lymphoma
48,Melanocytes,Unknown,0.9314466527343128,214,TCL_07,T-Cell Lymphoma
49,Smooth muscle cells,Suprabasal keratinocytes,0.0,0,TCL_07,T-Cell Lymphoma
50,Smooth muscle cells,T-cells,-1.7220511091848485,81,TCL_07,T-Cell Lymphoma
